trial_index,20,21,22,23,40,41,42,43,y,day
0,0.48447435334465716,0.47045110268001894,0.284767804488748,0.5720435036325093,0.32454936699914366,0.2996135802904742,0.26950849938832505,0.7518170460885447,0,0
1,0.48470396542460314,0.46651671087303925,0.28474317397366417,0.5790547471019846,0.32557183573697557,0.2994082954933107,0.2674769624814136,0.7391597487698094,0,0
2,0.4751156363654174,0.4580973384992646,0.2823039756547244,0.5820348580447314,0.3243077329473388,0.29660865037336215,0.26381248561292436,0.720470569776024,0,0
3,0.47297228214011583,0.45017792026868847,0.28136729503220254,0.5723808496214107,0.32358522683093327,0.29273180829282264,0.2608212888581394,0.7145124186060308,0,0
4,0.47522228149065404,0.4460748511106094,0.2829157743593356,0.5719926386378236,0.3263272956355548,0.29190750756842027,0.26140914951718436,0.712785507240704,0,0
5,0.46967940757431104,0.4428541165438961,0.28082769563614407,0.5676667920271624,0.32674950261014296,0.29231037863353515,0.26004421848315623,0.7088150984623643,0,0
6,0.47194410018261335,0.437589129680808,0.2809741034051984,0.5785572501550117,0.32868218223768936,0.28890008493666197,0.25945916200526004,0.701062686192272,0,0
7,0.4678367969723943,0.43321167179651543,0.27999282775260437,0.5787242769004235,0.3322570528670343,0.2870113858122439,0.2563818822390513,0.692896050850526,0,0
8,0.4578490245129744,0.4261453609211462,0.2795825943917873,0.5768849896693988,0.33495966063751004,0.28767022158996386,0.2541107832176927,0.6847068481686457,0,0
9,0.450661089811653,0.42268126975365217,0.2775301965589408,0.5797307424554556,0.3346691640836176,0.28657841822563523,0.2532615804187139,0.6788130875264037,0,0
10,0.4542376977348101,0.4211482095735512,0.2770986039752044,0.5850042522658437,0.3351003345645961,0.28664259769340983,0.2516255427476535,0.6689874342820705,0,0
11,0.4540918260589826,0.41743107308065663,0.27418821517571196,0.5838706117311494,0.33626402320587856,0.2841558379073015,0.24949112531281858,0.6586744137887877,0,0
12,0.4557324598868993,0.4145675607971248,0.2707792963251652,0.5927678918096756,0.3389269550206081,0.2834711237200429,0.24819154212912656,0.6548283520627945,0,0
13,0.454710974434977,0.4073850968680658,0.27003715996577,0.594162438817311,0.338629154774023,0.2802562747031772,0.24587142861315303,0.6496248271058189,0,0
14,0.4521074411650804,0.40454438099090834,0.2690679130528651,0.5987940535111259,0.3381875580617636,0.27877775123191534,0.24415614792588317,0.6325086810625404,0,0
15,0.4521483385836305,0.40237269454475477,0.2661593288804519,0.6055901970274229,0.3380798246407307,0.27703871169128225,0.24257906300316504,0.6306739081489637,0,0
